股票代號,公司名稱
/2536,宏普
/2537,聯上發
/2538,基泰
/2539,櫻花建
/2540,愛山林
/2542,興富發
/2543,皇昌
/2545,皇翔
/2546,根基
/2547,日勝生
/2548,華固
/2597,潤弘
/2601,益航
/2603,長榮
/2605,新興
/2606,裕民
/2607,榮運
/2608,嘉里大榮
/2609,陽明
/2610,華航
/2611,志信
/2612,中航
/2613,中櫃
/2614,東森
/2615,萬海
/2616,山隆
/2617,台航
/2618,長榮航
/2630,亞航
/2633,台灣高鐵
/2634,漢翔
/2636,台驊投控
/2637,慧洋-KY
/2642,宅配通
/2701,萬企
/2702,華園
/2704,國賓
/2705,六福
/2706,第一店
/2707,晶華
/2712,遠雄來
/2722,夏都
/2723,美食-KY
/2727,王品
/2731,雄獅
/2739,寒舍
/2748,雲品
/2753,八方雲集
/2801,彰銀
/2809,京城銀
/2812,台中銀
/2816,旺旺保
/2820,華票
/2823,中壽
/2832,台產
/2834,臺企銀
/2836,高雄銀
/2838,聯邦銀
/2841,台開
/2845,遠東銀
/2849,安泰銀
/2850,新產
/2851,中再保
/2852,第一保
/2855,統一證
/2867,三商壽
/2880,華南金
/2881,富邦金
/2882,國泰金
/2883,開發金
/2884,玉山金
/2885,元大金
/2886,兆豐金
/2887,台新金
/2888,新光金
/2889,國票金
/2890,永豐金
/2891,中信金
/2892,第一金
/2897,王道銀行
/2901,欣欣
/2903,遠百
/2904,匯僑
/2905,三商
/2906,高林
/2908,特力
/2910,統領
/2911,麗嬰房
/2912,統一超
/2913,農林
/2915,潤泰全
/2923,鼎固-KY
/2929,淘帝-KY
/2936,客思達-KY
/2939,凱羿-KY
/3002,歐格
/3003,健和興
/3004,豐達科
/3005,神基
/3006,晶豪科
/3008,大立光
/3010,華立
/3011,今皓
/3013,晟銘電
/3014,聯陽
/3015,全漢
/3016,嘉晶
/3017,奇鋐
/3018,同開
/3019,亞光
/3021,鴻名
/3022,威強電
/3023,信邦
/3024,憶聲
/3025,星通
/3026,禾伸堂
/3027,盛達
/3028,增你強
/3029,零壹
/3030,德律
/3031,佰鴻
/3032,偉訓
/3033,威健
/3034,聯詠
/3035,智原
/3036,文曄
/3037,欣興
/3038,全台
/3040,遠見
/3041,揚智
/3042,晶技
/3043,科風
/3044,健鼎
/3045,台灣大
/3046,建碁
/3047,訊舟
/3048,益登
/3049,和鑫
/3050,鈺德
/3051,力特
/3052,夆典
/3054,立萬利
/3055,蔚華科
/3056,總太
/3057,喬鼎
/3058,立德
/3059,華晶科
/3060,銘異
/3062,建漢
/3090,日電貿
/3092,鴻碩
/3094,聯傑
/3130,一零四
/3138,耀登
/3149,正達
/3164,景岳
/3167,大量
/3189,景碩
/3209,全科
/3229,晟鈦
/3231,緯創
/3257,虹冠電
/3266,昇陽
/3296,勝德
/3305,昇貿
/3308,聯德
/3311,閎暉
/3312,弘憶股
/3321,同泰
/3338,泰碩
/3346,麗清
/3356,奇偶
/3376,新日興
/3380,明泰
/3383,新世紀
/3406,玉晶光
/3413,京鼎
/3416,融程電
/3419,譁裕
/3432,台端
/3437,榮創
/3443,創意
/3450,聯鈞
/3454,晶睿
/3481,群創
/3494,誠研
/3501,維熹
/3504,揚明光
/3515,華擎
/3518,柏騰
/3528,安馳
/3530,晶相光
/3532,台勝科
/3533,嘉澤
/3535,晶彩科
/3536,誠創
/3543,州巧
/3545,敦泰
/3550,聯穎
/3557,嘉威
/3563,牧德
/3576,聯合再生
/3583,辛耘
/3588,通嘉
/3591,艾笛森
/3593,力銘
/3596,智易
/3605,宏致
/3607,谷崧
/3617,碩天
/3622,洋華
/3645,達邁
/3653,健策
/3661,世芯-KY
/3665,貿聯-KY
/3669,圓展
/3673,TPK-KY
/3679,新至陞
/3682,亞太電
/3686,達能
/3694,海華
/3701,大眾控
/3702,大聯大
/3703,欣陸
/3704,合勤控
/3705,永信
/3706,神達
/3708,上緯投控
/3711,日月光投控
/3712,永崴投控
/3714,富采
/4104,佳醫
/4106,雃博
/4108,懷特
/4119,旭富
/4133,亞諾法
/4137,麗豐-KY
/4141,龍燈-KY
/4142,國光生
/4148      ,全宇生技-KY
/4155,訊映
/4164,承業醫
/4190,佐登-KY
/4306,炎洲
/4414,如興
/4426,利勤
/4438,廣越
/4439,冠星-KY
/4440,宜新實業
/4526,東台
/4532,瑞智
/4536,拓凱
/4540,全球傳動
/4545,銘鈺
/4551,智伸科
/4552,力達-KY
/4555,氣立
/4557,永新-KY
/4560,強信-KY
/4562,穎漢
/4564,元翎
/4566,時碩工業
/4571,鈞興-KY
/4572,駐龍
/4576,大銀微系統
/4581,光隆精密-KY
/4720,德淵
/4722,國精化
/4737,華廣
/4739,康普
/4746,台耀
/4755,三福化
/4763,材料-KY
/4764,雙鍵
/4766,南寶
/4807,日成-KY
/4904,遠傳
/4906,正文
/4912,聯德控股-KY
/4915,致伸
/4916,事欣科
/4919,新唐
/4927,泰鼎-KY
/4930,燦星網
/4934,太極
/4935,茂林-KY
/4938,和碩
/4942,嘉彰
/4943,康控-KY
/4952,凌通
/4956,光鋐
/4958,臻鼎-KY
/4960,誠美材
/4961,天鈺
/4967,十銓
/4968,立積
/4976,佳凌
/4977,眾達-KY
/4989,榮科
/4994,傳奇
/4999,鑫禾
/5007,三星
/5203,訊連
/5215,科嘉-KY
/5222,全訊
/5225,東科-KY
/5234,達興材料
/5243,乙盛-KY
/5258,虹堡
/5269,祥碩
/5283,禾聯碩
/5284,jpp-KY
/5285,界霖
/5288,豐祥-KY
/5388,中磊
/5434,崇越
/5469,瀚宇博
/5471,松翰
/5484,慧友
/5515,建國
/5519,隆大
/5521,工信
/5522,遠雄
/5525,順天
/5531,鄉林
/5533,皇鼎
/5534,長虹
/5538,東明-KY
/5546,永固-KY
/5607,遠雄港
/5608,四維航
/5706,鳳凰
/5871,中租-KY
/5876,上海商銀
/5880,合庫金
/5906,台南-KY
/5907,大洋-KY
/6005,群益證
/6024,群益期
/6108,競國
/6112,聚碩
/6115,鎰勝
/6116,彩晶
/6117,迎廣
/6120,達運
/6128,上福
/6133,金橋
/6136,富爾特
/6139,亞翔
/6141,柏承
/6142,友勁
/6152,百一
/6153,嘉聯益
/6155,鈞寶
/6164,華興
/6165,浪凡
/6166,凌華
/6168,宏齊
/6172,互億
/6176,瑞儀
/6177,達麗
/6183,關貿
/6184,大豐電
/6189,豐藝
/6191,精成科
/6192,巨路
/6196,帆宣
/6197,佳必琪
/6201,亞弘電
/6202,盛群
/6205,詮欣
/6206,飛捷
/6209,今國光
/6213,聯茂
/6214,精誠
/6215,和椿
/6216,居易
/6224,聚鼎
/6225,天瀚
/6226,光鼎
/6230,尼得科超眾
/6235,華孚
/6239,力成
/6243,迅杰
/6251,定穎
/6257,矽格
/6269,台郡
/6271,同欣電
/6277,宏正
/6278,台表科
/6281,全國電
/6282,康舒
/6283,淳安
/6285,啟碁
/6288,聯嘉
/6289,華上
/6405,悅城
/6409,旭隼
/6412,群電
/6414,樺漢
/6415,矽力-KY
/6416,瑞祺電通
/6426,統新
/6431,光麗-KY
/6438,迅得
/6442,光聖
/6443,元晶
/6449,鈺邦
/6451,訊芯-KY
/6456,GIS-KY
/6464,台數科
/6477,安集
/6491,晶碩
/6504,南六
/6505,台塑化
/6515,穎崴
/6525,捷敏-KY
/6531,愛普*
/6533,晶心科
/6541,泰福-KY
/6552,易華電
/6558,興能高
/6573,虹揚-KY
/6579,研揚
/6581,鋼聯
/6582,申豐
/6591,動力-KY
/6592,和潤企業
/6598,ABC-KY
/6605,帝寶
/6625,必應
/6641,基士德-KY
/6655,科定
/6666,羅麗芬-KY
/6668,中揚光
/6669,緯穎
/6670,復盛應用
/6671,三能-KY
/6672,騰輝電子-KY
/6674,鋐寶科技
/6698,旭暉應材
/6706,惠特
/6715,嘉基
/6743,安普新
/6754,匯僑設計
/6756,威鋒電子
/6768,志強-KY
/6776,展碁國際
/6781,AES-KY
/6790,永豐實
/6806,森崴能源
/8011,台通
/8016,矽創
/8021,尖點
/8028,昇陽半導體
/8033,雷虎
/8039,台虹
/8046,南電
/8070,長華*
/8072,陞泰
/8081,致新
/8101,華冠
/8103,瀚荃
/8104,錸寶
/8105,凌巨
/8110,華東
/8112,至上
/8114,振樺電
/8131,福懋科
/8150,南茂
/8163,達方
/8201,無敵
/8210,勤誠
/8213,志超
/8215,明基材
/8222,寶一
/8249,菱光
/8261,富鼎
/8271,宇瞻
/8341,日友
/8367,建新國際
/8374,羅昇
/8404,百和興業-KY
/8411,福貞-KY
/8422,可寧衛
/8427,基勝-KY
/8429,金麗-KY
/8442,威宏-KY
/8443,阿瘦
/8454,富邦媒
/8462,柏文
/8463,潤泰材
/8464,億豐
/8466,美吉吉-KY
/8467,波力-KY
/8473,山林水
/8478,東哥遊艇
/8480,泰昇-KY
/8481,政伸
/8482,商億-KY
/8488,吉源-KY
/8499,鼎炫-KY
/8926,台汽電
/8940,新天地
/8996,高力
/9802,鈺齊-KY
/9902,台火
/9904,寶成
/9905,大華
/9906,欣巴巴
/9907,統一實
/9908,大台北
/9910,豐泰
/9911,櫻花
/9912,偉聯
/9914,美利達
/9917,中保科
/9918,欣天然
/9919,康那香
/9921,巨大
/9924,福興
/9925,新保
/9926,新海
/9927,泰銘
/9928,中視
/9929,秋雨
/9930,中聯資源
/9931,欣高
/9933,中鼎
/9934,成霖
/9935,慶豐富
/9937,全國
/9938,百和
/9939,宏全
/9940,信義
/9941,裕融
/9942,茂順
/9943,好樂迪
/9944,新麗
/9945,潤泰新
/9946,三發地產
/9955,佳龍
/9958,世紀鋼
/030004,群創中信0C購01
/030007,東鋼第一14購01
/030009,長興元富11購01
/030011,聯發科元富11購06
/030012,聯發科元富11購07
/030013,聯發科元富11購08
/030014,玉晶光元富11購02
/030015,聯鈞元富11購01
/030016,松翰元富0C購01
/03001P,健策中信17售01
/030021,台達電日盛0C購01
/030026,上銀統一0C購01
/030027,晶技統一0C購01
/030029,新唐統一0C購01
/03002P,光罩元富18售02
/030030,立積統一13購01
/030032,巨大統一0C購01
/030034,國喬元大0C購01
/030038,長興元大11購01
/030039,長興元大12購01
/03003P,長榮元富16售02
/030046,興富發元大12購01
/03004P,萬海元大15售05
/030050,萬海元大0C購02
/030055,台勝科元大11購01
/030056,台勝科元大12購01
/03005P,欣興元大15售14
/03005X,元展05
/030064,元金2X群益11購01
/030068,長興群益11購01
/030069,南帝群益0C購01
/03006P,欣興元大17售03
/03006X,元展06
/030071,鴻海群益0C購05
/030074,聯發科群益0C購06
/030075,興富發群益11購01
/030076,富邦金群益0C購01
/03007P,南電元大15售06
/03007X,元展07
/030080,台勝科群益11購01
/030081,拓凱群益0C購01
/030082,超眾群益11購01
/030083,超眾群益11購02
/030086,巨騰群益0C購01
/03008P,順德凱基15售01
/03009P,矽格凱基15售04
/03009X,元展09
/03010P,長榮群益15售07
/03010X,元展10
/030118,台灣50凱基0C購02
/030119,恆大凱基12購01
/03011P,萬海群益16售02
/030121,正隆凱基12購01
/030122,南帝凱基14購01
/030123,台揚凱基12購01
/030129,聯發科凱基14購01
/03012P,順德國票16售02
/03012X,元展12
/030130,聯發科凱基14購02
/030132,益航凱基12購01
/030133,長榮凱基13購01
/030134,長榮凱基14購01
/030135,農林凱基11購01
/030136,威健凱基11購01
/030139,玉晶光凱基12購01
/03013P,欣興國票16售02
/03013X,元展13
/030140,台勝科凱基11購01
/030141,台勝科凱基14購01
/030142,圓展凱基12購01
/030143,拓凱凱基12購01
/030144,新唐凱基0C購01
/030146,眾達凱基12購01
/030147,界霖凱基12購01
/030149,達運凱基12購01
/03014P,佳凌國票16售01
/03014X,元展14
/030150,安集凱基12購01
/030151,臺股指凱基11購04
/030152,台積電富邦0C購02
/030155,玉晶光富邦0C購01
/03015P,南電國票16售01
/03015X,元展15
/030165,宏泰國泰0C購01
/030166,中鋼構國泰0C購01
/030167,鼎元國泰0C購01
/030168,嘉晶國泰0C購01
/030169,益登國泰0C購01
/03016P,群創中信15售01
/03016X,元展16
/030170,揚明光國泰0C購01
/030171,揚明光國泰0C購02
/030172,國光生國泰0C購01
/030173,國光生國泰12購01
/030174,康普國泰0C購01
/030175,安普新國泰0C購01
/030176,威鋒電國泰0C購01
/03017P,美律康和15售01
/03017X,元展17
/030187,上証2X凱基12購01
/030189,滬深2X凱基12購01
/03018P,長榮凱基15售10
/030193,宏泰凱基0C購01
/030195,台玻凱基0C購01
/03019P,長榮凱基18售05
/03019X,元展19
/030200,中環凱基0C購01
/030202,群光凱基0C購01
/03020P,東森凱基15售03
/03020X,元展20
/030210,台驊控凱基0C購01
/030212,慧洋凱基0C購01
/030214,潤泰全凱基0C購01
/030219,揚明光凱基0C購01
/03021P,南電凱基15售05
/030220,揚明光凱基11購01
/030223,康普凱基0C購01
/030224,康普凱基12購01
/030225,聯德凱基0C購01
/030229,安普新凱基0C購01
/03022P,技嘉元富18售03
/03022Q,恒指麥證0C售02
/03022X,富展01
/030230,威鋒電凱基0C購01
/030231,威鋒電凱基12購01
/030233,宏全凱基0C購01
/030234,茂順凱基0C購01
/03023P,南電元富15售04
/03023Q,恒指麥證12售03
/03024P,偉詮電群益15售03
/03024Q,恒指麥證12售04
/03025P,一詮群益15售02
/030268,廣宇統一0C購01
/03026P,聯發科元大15售11
/03026X,元展23
/030270,王品統一0C購01
/030272,華晶科統一0C購01
/030273,華晶科統一0C購02
/030274,群創統一11購02
/030275,申豐統一0C購01
/030277,威鋒電統一0C購01
/03027P,臺股指元大16售03
/03027X,元展24
/030283,佳世達元富0C購01
/030284,威盛元富11購01
/03028P,臺股指元大16售04
/03028X,元展25
/030292,國光生元富11購01
/030297,威鋒電元富11購01
/030298,威鋒電元富11購02
/030299,威鋒電元富11購03
/03029P,臺股指元大16售05
/03029X,元展26
/030300,威鋒電元富14購01
/030303,中環康和11購01
/03030P,臺股指元大16售06
/030314,聯電麥證0C購04
/030315,台達電麥證11購01
/030316,鴻海麥證11購01
/030319,台積電麥證11購02
/03031P,聯詠中信16售01
/030321,英業達麥證0C購01
/030322,凌陽麥證0C購01
/030323,聯發科麥證12購02
/030324,華新科麥證11購01
/030325,長榮麥證0C購01
/030326,大立光麥證0C購02
/03032P,欣興兆豐17售03
/030338,廣宇群益0C購01
/030339,台積電群益0C購07
/03033P,偉詮電群益15售04
/03033X,元展30
/030340,旺宏群益0C購01
/03034P,中鴻凱基15售02
/030355,長榮群益11購01
/03035P,華新科凱基15售01
/03035X,元展32
/030367,揚明光群益11購01
/03036P,長榮凱基15售13
/03037P,智易元富15售01
/030382,元金2X元大11購01
/03038P,順德元大15售05
/03038X,元展35
/030391,南帝元大11購01
/030392,鴻海元大0C購11
/030393,鴻海元大11購06
/030394,鴻海元大12購03
/03039P,景碩元大15售04
/03039X,元展36
/030405,鼎元元大0C購01
/030409,聯發科元大12購02
/03040P,長榮國票16售08
/030412,長榮元大0C購05
/030413,長榮元大0C購06
/030414,長榮元大11購01
/030419,潤泰全元大0C購01
/03041P,聯發科中信15售03
/030422,聯詠元大11購02
/030423,聯詠元大12購01
/030429,群創元大0C購07
/03042P,群創群益16售02
/030430,群創元大12購02
/03043P,智邦凱基15售02
/030444,安普新元大0C購01
/030447,臺股指元大11購04
/030448,臺股指元大11購05
/030449,臺股指元大11購06
/03044P,長榮航凱基15售05
/030450,中鴻富邦0C購01
/030453,超豐富邦0C購01
/030456,潤泰全富邦0C購01
/03045P,臺股指凱基18售04
/030462,明基材富邦0C購01
/030468,廣宇國泰0C購01
/030469,聯發科國泰0C購02
/03046P,臺股指凱基18售05
/030470,聯發科國泰0C購03
/030471,強茂國泰0C購01
/030472,晶技國泰0C購01
/03047P,臺股指凱基18售06
/03047X,元展44
/03048P,愛普國票16售04
/03049P,長榮航元大15售07
/03049X,元展46
/030505,T50反1群益0C購01
/03050P,佳凌元大15售01
/03050X,元展47
/03051P,聯發科台新15售01
/030527,元黃金凱基0C購01
/030529,道瓊銀凱基0C購01
/03052P,台灣50中信15售02
/03052X,元展49
/03053P,中鋼中信15售02
/030545,聯詠凱基12購01
/030548,松翰凱基0C購01
/03054P,長榮中信15售04
/030550,申豐凱基11購01
/030552,元金2X統一0C購01
/030554,中鴻統一0C購01
/030555,華邦電統一0C購01
/030556,威盛統一0C購01
/030557,威盛統一0C購02
/030558,南亞科統一0C購02
/030559,南亞科統一0C購03
/03055P,威鋒電中信15售02
/030560,長榮統一0C購03
/030561,長榮統一11購01
/030563,華晶科統一0C購03
/030564,華晶科統一11購01
/030565,創意統一0C購01
/030566,松翰統一0C購01
/030567,惠特統一0C購02
/030568,安普新統一0C購01
/030569,台積電日盛12購01
/03056P,台灣50台新15售01
/030571,彩晶日盛0C購01
/030573,滬深2X富邦0C購01
/030574,仁寶富邦0C購01
/030579,致茂元富11購01
/03057P,T50正2凱基16售03
/030581,聯發科元富11購09
/030586,T50正2元大11購01
/030587,T50正2元大11購02
/030588,T50反1元大11購03
/030589,T50反1元大11購04
/03058P,T50正2凱基1A售01
/030591,臺指反元大11購03
/030592,臺指反元大11購04
/030595,力山元大0C購01
/03059P,長榮凱基15售15
/030603,廣宇元大12購01
/030606,華邦電元大12購01
/030609,南亞科元大0C購01
/03060P,臺股指凱基16售12
/03060X,元展55
/03061P,臺股指凱基16售13
/030623,景碩元大0C購01
/030624,玉晶光元大11購01
/03062P,友達元富15售04
/030631,台郡元大0C購01
/030639,聯發科中信12購01
/03063P,長榮元富16售06
/030644,友達日盛0C購01
/030646,聯發科日盛0C購01
/030647,聯發科日盛12購01
/030648,聯發科日盛14購01
/03064F,恒指麥證0C購01
/03064P,萬海元富16售03
/03064X,元展59
/03065F,恒指麥證12購01
/03065P,揚明光元富15售03
/03066F,恒指麥證12購02
/03066P,長榮航康和15售02
/030672,T50反1國泰0C購01
/030673,榮成國泰0C購01
/030674,中鴻國泰0C購01
/030675,聯電國泰0C購01
/030676,華新科國泰0C購01
/030677,創意國泰0C購01
/030678,申豐國泰0C購01
/03067P,台積電麥證16售01
/03068P,台積電群益15售13
/03069P,長榮群益15售09
/030703,長榮群益0C購03
/030706,華晶科群益0C購01
/030707,華晶科群益11購01
/030708,京鼎群益0C購01
/03070P,南電群益15售05
/030710,群創群益0C購01
/030714,申豐群益0C購01
/03071P,臺股指群益15售24
/030729,廣宇元大0C購01
/03072P,臺股指群益15售25
/030730,台積電元大11購08
/030736,南亞科元大11購02
/03073P,臺股指群益15售26
/030741,強茂元大0C購01
/030742,強茂元大11購01
/030745,長榮元大11購02
/03074P,台灣50元大15售02
/03074X,元展69
/030753,彩晶元大0C購02
/03075P,揚明光元大15售04
/03075X,元展70
/030760,南帝元富11購01
/030766,凌陽康和11購01
/03076P,南電元大15售08
/030772,台積電麥證11購03
/030776,長榮航麥證0C購01
/03077P,臺股指元大15售33
/030780,元金2X凱基0C購01
/030783,中鴻凱基12購01
/030784,大成鋼凱基12購01
/030786,南帝凱基0C購01
/030787,南帝凱基12購01
/03078P,臺股指元大15售34
/030790,鴻海凱基11購03
/03079P,長榮航國泰17售04
/030807,臺股指凱基0C購22
/030808,大成鋼富邦0C購01
/030809,台積電富邦11購01
/03080P,台灣50凱基17售01
/030810,友達富邦0C購01
/030811,長榮富邦11購01
/030813,聯詠富邦0C購01
/030815,潤泰新富邦0C購01
/030816,中鋼構國泰0C購02
/030817,群創國泰0C購02
/030818,瑞祺國泰0C購01
/03081P,台灣50凱基17售02
/030820,大成鋼日盛0C購01
/030821,旺宏日盛0C購01
/030826,中鴻中信11購01
/03082P,道瓊指凱基1B售01
/030831,華新科中信0C購01
/030832,長榮中信0C購02
/030835,群創中信11購01
/03083P,強茂凱基15售04
/03084P,台灣50麥證17售01
/03085P,長榮元富16售08
/03086P,長榮群益16售12
/030876,玉晶光元富11購03
/030878,松翰元富11購01
/03087P,欣興群益15售04
/030887,台積電第一14購02
/030888,群創第一14購01
/030889,台灣50凱基0C購05
/03088P,長榮航國票15售05
/030891,上証2X凱基0C購01
/030894,南紡凱基0C購01
/030895,南紡凱基11購01
/03089P,長榮航國票16售04
/030901,大成鋼凱基14購01
/030904,台積電凱基14購01
/030905,台積電凱基14購02
/030906,台積電凱基14購03
/030909,長榮凱基13購02
/03090P,臺股指富邦15售02
/030910,長榮凱基14購02
/030917,臺股指凱基0C購23
/03091P,臺股指富邦15售03
/030928,全新群益0C購01
/030929,宏達電群益0C購01
/03092P,長榮航中信15售04
/030939,群創群益0C購02
/03093P,鴻海群益15售07
/03093X,永豐金元大61展01
/030943,申豐群益0C購02
/030948,國巨富邦0C購01
/03094P,台積電群益16售04
/030950,奇力新富邦0C購01
/030952,禾伸堂富邦0C購01
/030953,惠特富邦0C購01
/030958,南紡元大0C購01
/03095P,強茂群益16售05
/030962,東鋼元大0C購02
/03096P,陽明群益15售05
/030970,佳世達元大0C購02
/03097P,陽明群益16售01
/030982,宏達電元大11購01
/030987,嘉晶元大0C購01
/03098P,長榮航群益15售07
/030991,申豐元大0C購01
/030995,群創中信0B購08
